Ackerstraße
Adolph-Kolping-Straße
Albert-Förster-Straße
Albert-Schweitzer-Straße
Albertusstraße
Albrecht-Dürer-Straße
Amalie-Marby-Straße
Amalienstraße
Am Priorgraben
Am Tschugagraben
An der Priormühle
An der Ringstraße
Anne-Frank-Straße
Annenstraße
Anton-Bruckner-Straße
Arndtstraße
August-Bebel-Straße
August-Borsig-Straße
Bachstraße
Beethovenstraße
Bertolt-Brecht-Straße
Beuchstraße
Blechenstraße
Bleyerstraße
Bodelschwinghstraße
Bodo-Uhse-Straße
Breitscheidplatz
Briesmannstraße
Büdnerstraße
Carl-Maria-von-Weber-Straße
Carl-von-Ossietzky-Straße
Chopinstraße
Clara-Zetkin-Straße
Claudiusstraße
Clementinestraße
Comeniusstraße
Curt-Möbius-Straße
Dahlitzer Straße
Damaschkeallee
Deffkestraße
Defreggerstraße
Dostojewskistraße
Dreifertstraße
Eilenburger Straße
Elisabeth-Wolf-Straße
Elly-Beinhorn-Straße
Erich-Kästner-Platz
Erich-Weinert-Straße
Ernst-Barlach-Straße
Ernst-Bloch-Straße
Ernst-Heilmann-Weg
Ernst-Mucke-Straße
Ewald-Haase-Straße
Ewald-Müller-Straße
Feigestraße
Ferdinand-Sauerbruch-Straße
Fontaneplatz
Fortunastraße
Franz-Mehring-Straße
Franz-Schubert-Straße
Friedlieb-Runge-Straße
Friedrich-Ebert-Straße
Friedrich-Engels-Straße
Friedrich-Hebbel-Straße
Friedrich-List-Straße
Friedrich-Ludwig-Jahn-Straße
Fröbelstraße
Georg-Schlesinger-Straße
Gerhart-Hauptmann-Straße
Gertraudtenstraße
Geschwister-Scholl-Straße
Goethebrücke
Goethestraße
Goetheweg
Gotthold-Schwela-Straße
Grötscher Straße
Grünstraße
Gustav-Hermann-Straße
Gustav-Melde-Weg
Gustav-Moritz-Straße
Hans-Beimler-Straße
Hans-Sachs-Straße
Hardenbergstraße
Hegelstraße
Heinrich-Albrecht-Straße
Heinrich-Bolze-Straße
Heinrich-Heine-Straße
Heinrich-Hertz-Straße
Heinrich-Mann-Straße
Heinrich-Zille-Straße
Helene-Weigel-Straße
Herderstraße
Hermann-Hammerschmidt-Straße
Hermann-Köhl-Straße
Hermann-Löns-Straße
Hermannstraße
Holbeinstraße
Hölderlinstraße
Hubertstraße
Hufelandstraße
Hüfnerstraße
Hüfnerweg
Humboldtstraße
Huttenplatz
Jacques-Duclos-Platz
Jahnstraße
Jasminweg
Johannes-Brahms-Straße
Johann-Mantel-Straße
Joliot-Curie-Straße
Jürgen-Tschirner-Weg
Juri-Gagarin-Straße
Kantstraße
Karl-Liebknecht-Straße
Karl-Marx-Siedlung
Karl-Marx-Straße
Karlshofer Straße
Karlshofer Weg
Karlstraße
Katharinengäßchen
Käthe-Kollwitz-Straße
Kiebitzweg
Kleiststraße
Klopstockstraße
Kochstraße
Konrad-Zuse-Straße
Körnerstraße
Kutzeburger Weg
Leistikowstraße
Lenbachstraße
Leo-Tolstoi-Straße
Lessingstraße
Levinestraße
Liebermannstraße
Linnéstraße
Lipezker Straße
Lobedanstraße
Lortzingstraße
Louis-Braille-Straße
Lovis-Corinth-Straße
Lucas-Cranach-Straße
Luciestraße
Lutherstraße
Makarenkostraße
Marienstraße
Marjana-Domaskojc-Straße
Markgrafenmühle
Markgrafenmühlenweg
Mathäus-Riese-Weg
Max-Grünebaum-Straße
Melli-Beese-Straße
Menzelstraße
Mina-Witkojc-Straße
Mozartstraße
Nutzberger Weg
Oskar-Trautmann-Straße
Ottilienstraße
Otto-Enke-Straße
Paul-Greifzu-Straße
Pestalozzistraße
Peter-Model-Straße
Peter-Rosegger-Straße
Petersilienstraße
Petzoldstraße
Philipp-Melanchthon-Straße
Philipp-Reis-Straße
Pücklerstraße
Puschkinpromenade
Pyrastraße
Reinpuscher Weg
Ricarda-Huch-Straße
Richard-Wagner-Straße
Ringstraße
Rosa-Luxemburg-Straße
Rudniki
Rudolf-Breitscheid-Straße
Rudolf-Diesel-Straße
Schillerplatz
Schillerstraße
Schopenhauerstraße
Schreberweg
Siemens-Halske-Ring
Spitzwegstraße
Steinteichmühle
Sudermannstraße
Thälmannstraße
Theodor-Brugsch-Straße
Theodor-Storm-Straße
Thiemstraße
Thierbacher Straße
Thomas-Mann-Straße
Thomas-Müntzer-Straße
Uhlandstraße
Virchowstraße
Vom-Stein-Straße
Von-Schön-Straße
Walther-Pauer-Straße
Walther-Rathenau-Straße
Werner-Seelenbinder-Ring
Werner-Seelenbinder-Ring 4A
Werner-von-Siemens-Straße
Wilhelm-Busch-Straße
Wilhelm-Külz-Straße
Wilhelm-Nevoigt-Platz
Wilhelm-Nevoigt-Straße
Wilhelm-Pieck-Straße
Wilhelm-Riedel-Straße
Wilhelmstraße
Willi-Budich-Straße
Willy-Brandt-Straße
Willy-Jannasch-Straße
Zimmerstraße
